"(Intercept)","Group_Pred_Len","s(GEAR_DEPTH)","s(GEAR_TEMP, k = 4)","s(RLONG, RLAT)","Year","df","logLik","AIC","delta","weight"
1.54034052889322,-0.0388515032514721,"+","+","+","+",49,-1945.98147311181,3990.77492571677,0,0.755332018429681
1.56946525469089,-0.0386593917425418,"+",NA,"+","+",47,-1948.81556607169,3993.02943631256,2.25451059579018,0.244667981570319
1.07866359880841,-0.0384044684726635,"+","+","+",NA,34,-2013.13110286447,4095.63945689278,104.864531176014,1.27965906113876e-23
1.06902929933809,-0.0382138576209767,"+",NA,"+",NA,33,-2015.49915271945,4098.46479598386,107.68987026709,3.11587256884401e-24
-0.074508699658332,NA,"+","+","+","+",48,-2036.14512425715,4168.84872087475,178.073795157984,1.62145384323388e-39
-0.0439822134864346,NA,"+",NA,"+","+",46,-2038.04525557374,4169.71848537725,178.94355966048,1.04963336776619e-39
1.36292311912832,-0.0385707364019901,"+","+",NA,"+",24,-2081.56415324396,4213.08486825797,222.309942541203,4.01927050287422e-49
1.4055045526014,-0.0384898653318487,"+",NA,NA,"+",23,-2092.3609562725,4230.93185512388,240.156929407109,5.35455370259297e-53
1.71708150172899,-0.0431652707910083,NA,"+","+","+",44,-2073.45218837272,4236.15406894755,245.379143230782,3.93309064075895e-54
1.62189143082369,-0.0441103892000542,NA,NA,"+","+",41,-2092.89042373301,4269.20745960663,278.432533889863,2.61385426209729e-61
-0.520380339729953,NA,"+","+","+",NA,33,-2104.99751267218,4277.54161337966,286.766687662889,4.05081931351135e-63
-0.522031290983607,NA,"+",NA,"+",NA,32,-2106.66737384855,4279.01495449571,288.240028778945,1.93914780785232e-63
1.10452218494221,-0.0381829076498337,"+","+",NA,NA,10,-2145.03563272894,4311.44644736153,320.671521644758,1.75874031084139e-70
1.09994839464173,-0.0380578307946523,"+",NA,NA,NA,8,-2154.32511952598,4326.62954579946,335.854620082695,8.87633701260126e-74
1.3250991865042,-0.0430011617956115,NA,"+","+",NA,31,-2140.91379442342,4344.24453612821,353.469610411444,1.32796684938475e-77
1.34025498510365,-0.0431855241814935,NA,NA,"+",NA,28,-2151.39346690594,4359.04489053962,368.269964822851,8.11579574102213e-81
-0.239121574511364,NA,"+","+",NA,"+",24,-2178.16944732377,4404.52039696221,413.745471245441,1.08255596557024e-90
-0.19188093379239,NA,"+",NA,NA,"+",22,-2189.37079915479,4423.0591118684,432.284186151635,1.02051540503892e-94
-0.0968553324877229,NA,NA,"+","+","+",43,-2194.65862156877,4475.86847773535,485.093552018584,3.47865589179436e-106
-0.485976247044072,NA,"+","+",NA,NA,9,-2243.89743910504,4507.3122884623,516.537362745532,5.16981171281018e-113
-0.484811997292157,NA,"+",NA,NA,NA,8,-2253.16976465402,4522.38455996522,531.609634248456,2.7578621498371e-116
-0.260827339145982,NA,NA,NA,"+","+",40,-2221.57322207339,4524.35534720192,533.580421485148,1.02948860386869e-116
1.41439596591599,-0.0426104354542434,NA,"+",NA,"+",18,-2266.72717753719,4571.28516360363,580.510237886862,6.63653506629191e-127
1.37163898128615,-0.0420780986513188,NA,NA,NA,"+",16,-2278.9256256165,4589.85125123299,599.07632551622,6.17115833681682e-131
-0.458495589156696,NA,NA,"+","+",NA,29,-2266.5489449206,4592.96736910254,602.192443385769,1.29930255252868e-131
-0.449166359090854,NA,NA,NA,"+",NA,27,-2279.62407945914,4613.37714821518,622.602222498408,4.8059922805256e-136
1.32486754821754,-0.042037074879487,NA,"+",NA,NA,4,-2319.77806280806,4649.36729164072,658.592365923949,7.35567822276374e-144
1.3027401822112,-0.0414027662456326,NA,NA,NA,NA,2,-2335.10750209111,4674.21500418222,683.440078465447,2.95808398535346e-149
-0.387128862105347,NA,NA,"+",NA,"+",17,-2399.74062929317,4835.31037496078,844.535449244011,3.08741639180356e-184
-0.418710334858057,NA,NA,NA,NA,"+",14,-2410.03167988322,4850.06335976643,859.288434049663,1.93208068659334e-187
-0.418557683712048,NA,NA,"+",NA,NA,3,-2453.82450577335,4915.45386295631,924.678937239539,1.220837630026e-201
-0.412965995646294,NA,NA,NA,NA,NA,0,-2466.57898985915,4935.15797971829,944.383054001522,6.42633434338428e-206
