"Predator","Response","s(GEAR_TEMP, k = 4)","Len_bin","s(GEAR_DEPTH)","s(RLONG, RLAT)","Year","adjR^2","deviance","df","logLik","AIC","delta","weight"
"Arrowtooth flounder","Euphausiid %O","+","+","+","+","+",0.338343396575198,37.5628178126524,51,-1878.14089063262,3859.78143544727,0,0.628703187151238
"Arrowtooth flounder","Euphausiid %O",NA,"+","+","+","+",0.337473749416391,37.5932266976376,50,-1879.66133488187,3860.83475042212,1.05331497484804,0.371296812848762
"Pacific cod","Euphausiid %O","+","+","+","+","+",0.211197391655628,34.3908827284817,46,-1719.54413642407,3532.11200219812,0,0.92550666779858
"Walleye pollock","Euphausiid %O",NA,"+","+","+","+",0.233609941874947,31.8377640769445,48,-1591.88820384723,3281.66117976009,0,0.562699656037113
"Walleye pollock","Euphausiid %O","+","+","+","+","+",0.234144557897894,31.823641303644,49,-1591.1820651822,3282.16543352353,0.504253763435827,0.437299857890652
"Arrowtooth flounder","Walleye pollock %O",NA,"+","+","+","+",0.319002186236969,27.1152446162389,47,-1355.76223081176,2805.9902588552,0,0.665324970556837
"Arrowtooth flounder","Walleye pollock %O","+","+","+","+","+",0.319639468698022,27.0975147616923,48,-1354.87573808462,2807.38102048003,1.39076162483298,0.33192026898139
"Pacific halibut","Walleye pollock %O","+","+","+","+","+",0.329225937083116,25.0228267779934,47,-1251.14133889979,2597.46920701515,0,0.982727945612345
"Pacific cod","Walleye pollock %O","+","+","+","+","+",0.378799502332929,14.9108929828652,46,-745.544649143261,1583.32034731061,0,0.480341947036462
"Pacific cod","Walleye pollock %O","+","+",NA,"+","+",0.375674607445512,14.9706972120888,43,-748.534860604383,1583.63577129302,0.315423982402763,0.41025800764968
"Arrowtooth flounder","Ammodytidae %O",NA,"+","+","+","+",0.40442081900189,8.32537102503236,45,-416.268551251286,924.312656288026,0,0.597048433235449
"Arrowtooth flounder","Ammodytidae %O","+","+","+","+","+",0.406664660218726,8.29741048126395,47,-414.870524063185,925.165686957185,0.853030669159921,0.389741189910599
"Pacific halibut","Ammodytidae %O",NA,"+","+","+","+",0.442517661918987,9.31519406000603,49,-465.759703000206,1031.06570841475,0,0.554326233098481
"Pacific halibut","Ammodytidae %O","+","+","+","+","+",0.444517818253139,9.2863520488453,51,-464.317602433922,1031.5346521606,0.468943745842125,0.438465665526045
"Pacific cod","Ammodytidae %O",NA,"+","+","+","+",0.421617338799684,8.40364106753982,47,-420.182053377045,935.856779649102,0,0.652262931559627
"Pacific cod","Ammodytidae %O","+","+","+","+","+",0.422479336294697,8.39263472882274,48,-419.631736441134,937.114781862012,1.25800221291001,0.347737068336054
"Arrowtooth flounder","Clupeidae %O","+","+",NA,"+","+",0.3510193394831,8.26428908763379,32,-413.214454380572,891.086427539454,0,0.425061298632037
"Arrowtooth flounder","Clupeidae %O",NA,"+",NA,"+","+",0.347190820787945,8.30774169949129,30,-415.387084974525,892.186090591327,1.09966305187288,0.245280355543284
"Arrowtooth flounder","Clupeidae %O","+","+","+","+","+",0.351517648025547,8.25862949960284,33,-412.931474980098,892.387823790236,1.30139625078209,0.221746594837273
"Pacific halibut","Clupeidae %O",NA,"+","+","+","+",0.455322845686655,5.96850118350866,38,-298.425059175433,673.626551483192,0,0.652468763668096
"Pacific halibut","Clupeidae %O","+","+","+","+","+",0.456256819642298,5.95919852016363,39,-297.95992600815,675.400013597,1.77346211380814,0.268817365235741
"Arrowtooth flounder","Osmeridae %O","+","+","+","+","+",0.242877589119417,26.6095952030317,42,-1330.47976015159,2744.99879471797,0,0.528747556590326
"Arrowtooth flounder","Osmeridae %O",NA,"+","+","+","+",0.242067085946802,26.6296129166512,41,-1331.48064583256,2745.2366348302,0.237840112237791,0.469463734627559
"Pacific halibut","Osmeridae %O",NA,"+","+","+","+",0.312500170415248,12.0648118700799,41,-603.240593503994,1289.67149239266,0,0.690311618740533
"Pacific halibut","Osmeridae %O","+","+","+","+","+",0.31274907877905,12.0611994914589,42,-603.059974572943,1291.27469520638,1.60320281372424,0.309680682496035
"Pacific cod","Osmeridae %O",NA,"+","+","+","+",0.183525772226064,8.40341819441159,33,-420.170909717337,906.711120860677,0,0.495741186031488
"Pacific cod","Osmeridae %O","+","+","+","+","+",0.188825527119977,8.35545500903288,35,-417.772750451644,906.909762392043,0.198641531365865,0.44886995914125
"Walleye pollock","Osmeridae %O",NA,"+",NA,"+","+",0.185717848257319,13.5785867099491,39,-678.929335496152,1437.80126795844,0,0.408915727299035
"Walleye pollock","Osmeridae %O",NA,"+","+","+","+",0.186423987295234,13.5689730496067,40,-678.448652480335,1438.4740334861,0.672765527663614,0.292108796976143
"Walleye pollock","Osmeridae %O","+","+",NA,"+","+",0.186105762944519,13.5733058380683,41,-678.665291903415,1439.34459495177,1.54332699333008,0.189018632040158
