,,,,,,,,,,,,,Length,Depth,Temp,Lat/Long,Year
,,,,,,,,,,,,,0.9995454,1.0000000,0.4344948,1.0000000,1.0000000
(Intercept),Group_Pred_Len,s(GEAR_DEPTH),"s(GEAR_TEMP, k = 4)","s(RLONG, RLAT)",Year,df,logLik,AIC,delta,weight,,,1.0000000,1.0000000,1.0000000,1.0000000,1.0000000
1.76215811,0.012435126,+,NA,+,+,49,-1646.133453,3390.927278,0,0.565230112,,,,,,,
1.748555091,0.012572225,+,+,+,+,50,-1645.49498,3391.454202,0.526924306,0.434315302,,,,,,,
2.325672769,NA,+,NA,+,+,48,-1654.915474,3406.183149,15.25587136,0.000275077,,,,,,,
2.318834231,NA,+,+,+,+,49,-1654.447968,3407.036811,16.10953293,0.000179508,,,,,,,
1.794278676,0.007843493,NA,+,+,+,44,-1696.369445,3482.165159,91.23788067,8.71E-21,,,,,,,
2.163545204,NA,NA,+,+,+,43,-1700.014339,3487.418943,96.49166456,6.30E-22,,,,,,,
0.518489656,0.01500988,+,+,+,NA,37,-1705.930655,3487.604159,96.6768809,5.74E-22,,,,,,,
1.811645708,0.007848923,NA,NA,+,+,42,-1702.645692,3489.668002,98.74072374,2.05E-22,,,,,,,
0.521304863,0.014893092,+,NA,+,NA,36,-1709.16509,3491.812554,100.8852756,7.00E-23,,,,,,,
2.184472845,NA,NA,NA,+,+,41,-1706.26289,3494.94743,104.0201524,1.46E-23,,,,,,,
1.14627463,NA,+,+,+,NA,36,-1718.778649,3511.39155,120.4642718,3.92E-27,,,,,,,
1.144411906,NA,+,NA,+,NA,35,-1721.944994,3515.427598,124.5003201,5.22E-28,,,,,,,
1.282475783,0.016244693,+,+,NA,+,24,-1757.723454,3563.99602,173.0687421,1.48E-38,,,,,,,
1.273941273,0.01649046,+,NA,NA,+,23,-1762.355478,3571.748007,180.8207294,3.07E-40,,,,,,,
0.694621938,0.010026816,NA,+,+,NA,29,-1757.724304,3573.99891,183.0716323,9.97E-41,,,,,,,
1.114629943,NA,NA,+,+,NA,28,-1763.861475,3584.421394,193.4941158,5.44E-43,,,,,,,
0.665980179,0.010545957,NA,NA,+,NA,28,-1765.908212,3588.118255,197.1909775,8.57E-44,,,,,,,
1.992585163,NA,+,+,NA,+,23,-1774.085434,3594.257847,203.3305692,3.98E-45,,,,,,,
1.107440808,NA,NA,NA,+,NA,27,-1772.851006,3600.139702,209.2124241,2.10E-46,,,,,,,
1.997441337,NA,+,NA,NA,+,22,-1779.267878,3603.243123,212.3158446,4.45E-47,,,,,,,
0.311737313,0.018408351,+,+,NA,NA,11,-1811.201519,3644.968113,254.0408349,3.87E-56,,,,,,,
0.288638002,0.018736014,+,NA,NA,NA,10,-1820.979788,3662.712947,271.7856687,5.43E-60,,,,,,,
1.074305576,NA,+,+,NA,NA,10,-1832.797257,3686.036554,295.1092757,4.68E-65,,,,,,,
1.065407524,NA,+,NA,NA,NA,9,-1843.723313,3706.117331,315.1900535,2.04E-69,,,,,,,
1.375285012,0.011041272,NA,+,NA,+,18,-1835.161197,3707.873824,316.9465458,8.48E-70,,,,,,,
1.876623085,NA,NA,+,NA,+,17,-1843.247386,3722.010779,331.083501,7.22E-73,,,,,,,
1.368375514,0.011582514,NA,NA,NA,+,15,-1851.851865,3735.703729,344.7764511,7.67E-76,,,,,,,
1.897119985,NA,NA,NA,NA,+,14,-1860.875181,3751.750361,360.8230831,2.51E-79,,,,,,,
0.479878091,0.013075404,NA,+,NA,NA,3,-1889.708565,3785.420301,394.4930225,1.23E-86,,,,,,,
1.025361124,NA,NA,+,NA,NA,2,-1901.665555,3807.332561,416.4052834,2.14E-91,,,,,,,
0.424819625,0.014057094,NA,NA,NA,NA,2,-1909.908332,3823.816663,432.8893852,5.64E-95,,,,,,,
1.010881598,NA,NA,NA,NA,NA,1,-1924.050536,3850.101072,459.1737944,1.11E-100,,,,,,,
