,Pred_name,Com_name,F,E,T,max,min,Fork length (cm)* Mean,SD,year
1,Anoplopoma fimbria,sablefish,85,80,165,83,28,55.39393939,10.74408344,1999
2,Atheresthes stomias,arrowtooth flounder,607,536,1143,80,9,40.80489939,13.02461272,1999
3,Gadus chalcogrammus,walleye pollock,933,43,976,69,10,40.79610656,15.7319999,1999
4,Gadus macrocephalus,Pacific cod,1579,1,1580,104,14,54.93481013,12.8109033,1999
5,Hemitripterus bolini,bigmouth sculpin,1,NA,1,64,64,64,NA,1999
6,Hippoglossoides elassodon,flathead sole,11,6,17,37,17,29.64705882,6.030559432,1999
7,Hippoglossus stenolepis,Pacific halibut,308,35,343,114,17,53.48688047,19.55765887,1999
8,Lepidopsetta bilineata,rock sole,162,43,205,50,15,35.81463415,6.771826041,1999
9,Lepidopsetta polyxystra,northern rock sole,63,21,84,41,17,30.07142857,5.538008242,1999
10,Limanda aspera,yellowfin sole,84,17,101,42,15,29.22772277,6.494430211,1999
11,Pleurogrammus monopterygius,Atka mackerel,29,18,47,52,37,47.57446809,3.027013745,1999
12,Sebastes borealis,shortraker rockfish,1,40,41,85,37,50.04878049,8.890869529,1999
13,Sebastes zacentrus,sharpchin rockfish,17,NA,17,27,19,23.64705882,2.998774259,1999
14,Albatrossia pectoralis,giant grenadier,24,8,32,35,26,31.15625,2.528666294,2001
15,Anoplopoma fimbria,sablefish,625,64,689,90,23,59.61393324,9.310636129,2001
16,Atheresthes stomias,arrowtooth flounder,1777,424,2201,82,13,37.45070423,14.83038805,2001
17,Bathymaster signatus,searcher,21,NA,21,29,23,26.28571429,2.216818828,2001
18,Bathyraja interrupta,sandpaper skate,4,NA,4,70,42,49.5,13.67479433,2001
19,Bathyraja parmifera,Alaska skate,1,1,2,91,59,75,22.627417,2001
20,Dasycottus setiger,spinyhead sculpin,29,1,30,28,12,17.9,5.498275592,2001
21,Embassichthys bathybius,NA,4,NA,4,43,40,41.25,1.258305739,2001
22,Gadus chalcogrammus,walleye pollock,1562,50,1612,75,7,39.39640199,16.43321981,2001
23,Gadus macrocephalus,Pacific cod,2305,35,2340,92,9,52.36239316,15.38313167,2001
24,Glyptocephalus zachirus,Rex sole,177,1,178,50,24,36.24719101,5.003458462,2001
25,Hemilepidotus jordani,yellow Irish lord,4,NA,4,38,30,34,4.618802154,2001
26,Hemitripterus bolini,bigmouth sculpin,3,1,4,75,20,55.25,26.08160271,2001
27,Hippoglossoides elassodon,flathead sole,28,15,43,51,14,36.48837209,7.6138098,2001
28,Hippoglossus stenolepis,Pacific halibut,1824,81,1905,128,13,56.367979,21.52320722,2001
29,Isopsetta isolepis,butter sole,2,8,10,51,25,39.7,7.364328437,2001
30,Lepidopsetta bilineata,rock sole,71,4,75,47,19,31.25333333,7.716415169,2001
31,Lepidopsetta polyxystra,northern rock sole,92,2,94,40,17,29.40425532,6.947296448,2001
32,Leptocottus armatus,Pacific staghorn sculpin,3,NA,3,28,28,28,0,2001
