Prey_Name,Prey_Name_Clean,Pred_Occur_Name,Pred_Prey_Occur
Sablefish Anoplopoma fimbria,Anoplopoma fimbria,Anoplopoma fimbria,Anoplopoma fimbria
Kamchatka flounder Atheresthes evermanni,Atheresthes evermanni,Atheresthes evermanni,Atheresthes evermanni
Arrowtooth flounder Atheresthes stomias,Atheresthes stomias,Atheresthes stomias,Atheresthes stomias
Walleye pollock Gadus chalcogrammus,Gadus chalcogrammus,Gadus chalcogrammus,Gadus chalcogrammus
Pacific cod Gadus macrocephalus,Gadus macrocephalus,Gadus macrocephalus,Gadus macrocephalus
Flathead sole Hippoglossoides elassodon,Hippoglossoides elassodon,Hippoglossoides elassodon,Hippoglossoides elassodon
Pacific halibut Hippoglossus stenolepis,Hippoglossus stenolepis,Hippoglossus stenolepis,Hippoglossus stenolepis
Southern rock sole Lepidopsetta bilineata,Lepidopsetta bilineata,Lepidopsetta bilineata,Lepidopsetta bilineata
Northern rock sole Lepidopsetta polyxystra,Lepidopsetta polyxystra,Lepidopsetta polyxystra,Lepidopsetta polyxystra
Yellowfin sole Limanda aspera,Limanda aspera,Limanda aspera,Limanda aspera
Atka mackerel Pleurogrammus monopterygius,Pleurogrammus monopterygius,Pleurogrammus monopterygius,Pleurogrammus monopterygius
Alaska plaice Pleuronectes quadrituberculatus,Pleuronectes quadrituberculatus,Pleuronectes quadrituberculatus,Pleuronectes quadrituberculatus
Pacific sandfish Trichodon trichodon,Trichodon trichodon,Trichodon trichodon,Trichodon trichodon
Giant grenadier Albatrossia pectoralis,Albatrossia pectoralis,Albatrossia pectoralis,
Searcher Bathymaster signatus,Bathymaster signatus,Bathymaster signatus,
Alaska skate Bathyraja parmifera,Bathyraja parmifera,Bathyraja parmifera,
Pacific herring Clupea pallasii,Clupea pallasii,Clupea pallasii,
Popeye grenadier Coryphaenoides cinereus,Coryphaenoides cinereus,Coryphaenoides cinereus,
Spinyhead sculpin Dasycottus setiger,Dasycottus setiger,Dasycottus setiger,
Rex sole Glyptocephalus zachirus,Glyptocephalus zachirus,Glyptocephalus zachirus,
Yellow Irish lord Hemilepidotus jordani,Hemilepidotus jordani,Hemilepidotus jordani,
Bigmouth sculpin Hemitripterus bolini,Hemitripterus bolini,Hemitripterus bolini,
Kelp greenling Hexagrammos decagrammus,Hexagrammos decagrammus,Hexagrammos decagrammus,
Butter sole Isopsetta isolepis,Isopsetta isolepis,Isopsetta isolepis,
Pacific staghorn sculpin Leptocottus armatus,Leptocottus armatus,Leptocottus armatus,
Longsnout prickleback Lumpenella longirostris,Lumpenella longirostris,Lumpenella longirostris,
Shortfin eelpout Lycodes brevipes,Lycodes brevipes,Lycodes brevipes,
Wattled eelpout Lycodes palearis,Lycodes palearis,Lycodes palearis,
Slender sole Lyopsetta exilis,Lyopsetta exilis,Lyopsetta exilis,
Darkfin sculpin Malacocottus zonurus,Malacocottus zonurus,Malacocottus zonurus,
Capelin Mallotus villosus,Mallotus villosus,Mallotus villosus,
Pacific hake Merluccius productus,Merluccius productus,Merluccius productus,
Dover sole Microstomus pacificus,Microstomus pacificus,Microstomus pacificus,
Chum salmon Oncorhynchus keta,Oncorhynchus keta,Oncorhynchus keta,
Coho salmon Oncorhynchus kisutch,Oncorhynchus kisutch,Oncorhynchus kisutch,
Lingcod Ophiodon elongatus,Ophiodon elongatus,Ophiodon elongatus,
English sole Parophrys vetulus,Parophrys vetulus,Parophrys vetulus,
Sturgeon poacher Podothecus acipenserinus,Podothecus acipenserinus,Podothecus acipenserinus,
Bigeye lanternfish Protomyctophum thompsoni,Protomyctophum thompsoni,Protomyctophum thompsoni,
Big skate Raja binoculata,Raja binoculata,Raja binoculata,
Northern ronquil Ronquilus jordani,Ronquilus jordani,Ronquilus jordani,
Rougheye rockfish Sebastes aleutianus,Sebastes aleutianus,Sebastes aleutianus,
Pacific ocean perch Sebastes alutus,Sebastes alutus,Sebastes alutus,
Darkblotched rockfish Sebastes crameri,Sebastes crameri,Sebastes crameri,
Northern rockfish Sebastes polyspinis,Sebastes polyspinis,Sebastes polyspinis,
Yelloweye rockfish Sebastes ruberrimus,Sebastes ruberrimus,Sebastes ruberrimus,
Sharpchin rockfish Sebastes zacentrus,Sebastes zacentrus,Sebastes zacentrus,
Shortspine thornyhead Sebastolobus alascanus,Sebastolobus alascanus,Sebastolobus alascanus,
Eulachon Thaleichthys pacificus,Thaleichthys pacificus,Thaleichthys pacificus,
Prowfish Zaprora silenus,Zaprora silenus,Zaprora silenus,
Fuzzy crab Acantholithodes hispidus,Acantholithodes hispidus,,
Agonidae (poacher),Agonidae,,
Pacific sandlance Ammodytes hexapterus,Ammodytes hexapterus,,
Ammodytidae (sandlance) Ammodytes sp.,Ammodytes sp.,,
Anarhichadidae (wolffishes),Anarhichadidae,,
Smooth alligatorfish Anoplagonus inermis,Anoplagonus inermis,,
Slender cockscomb Anoplarchus insignis,Anoplarchus insignis,,
Smooth lumpsucker Aptocyclus ventricosus,Aptocyclus ventricosus,,
Archaulus sp. Cottidae (sculpin),Archaulus sp.,,
Cottoidei (sculpin) Artediellus sp.,Artediellus sp.,,
Cottoidei (sculpin) Artedius sp.,Artedius sp.,,
Alligatorfish Aspidophoroides bartoni,Aspidophoroides bartoni,,
Atelecyclidae (crab),Atelecyclidae,,
