Prey_Name_Clean,TotalWt,N,PW,PN,Pred_common
Agonidae,17.261,10,0.00785595,0.074063102,Arrowtooth flounder
Ammodytidae,5735.692,347,2.610469127,2.569989631,Arrowtooth flounder
Amphipoda,2.25,3,0.001024036,0.022218931,Arrowtooth flounder
Annelida,2.131,2,0.000969876,0.01481262,Arrowtooth flounder
Anomura,33.437,23,0.015218086,0.170345134,Arrowtooth flounder
Anoplopoma fimbria,19.12,4,0.008702031,0.029625241,Arrowtooth flounder
Appendicularia,5.468,9,0.002488635,0.066656792,Arrowtooth flounder
Atheresthes stomias,2875.129,48,1.308549255,0.355502888,Arrowtooth flounder
Bathylagidae,417.122,13,0.189843545,0.096282032,Arrowtooth flounder
Bivalvia,11.045,22,0.005026879,0.162938824,Arrowtooth flounder
Brachyura,13.7186,34,0.006243707,0.251814546,Arrowtooth flounder
Caprellidae,0.028,1,1.27E-05,0.00740631,Arrowtooth flounder
Caridea,579.0449,562,0.263539052,4.162346319,Arrowtooth flounder
Cephalopoda,40.618,16,0.018486354,0.118500963,Arrowtooth flounder
Chaetognatha,11.603,34,0.00528084,0.251814546,Arrowtooth flounder
Chionoecetes bairdi,4.59,4,0.002089034,0.029625241,Arrowtooth flounder
Chionoecetes sp.,2.856,2,0.001299843,0.01481262,Arrowtooth flounder
Clupeoidei,14597.3477,235,6.64364919,1.740482891,Arrowtooth flounder
Cnidaria,1,2,0.000455127,0.01481262,Arrowtooth flounder
Copepoda,17.99445,48,0.008189763,0.355502888,Arrowtooth flounder
Cottidae,649.162,44,0.295451248,0.325877648,Arrowtooth flounder
Crangonidae,396.3635,416,0.180395788,3.081025033,Arrowtooth flounder
Crustacea,7.7891,62,0.003545031,0.459191231,Arrowtooth flounder
Cumacea,2.65,9,0.001206087,0.066656792,Arrowtooth flounder
Cyclopteridae,18.5,4,0.008419852,0.029625241,Arrowtooth flounder
Echinodermata,2.53,2,0.001151472,0.01481262,Arrowtooth flounder
Euphausiacea,8172.03876,4003,3.719316673,29.64745964,Arrowtooth flounder
Gadidae,5366.26101,326,2.442331055,2.414457117,Arrowtooth flounder
Gadus chalcogrammus,132407.1528,1575,60.26208949,11.66493853,Arrowtooth flounder
Gadus macrocephalus,2695.188,21,1.226653221,0.155532514,Arrowtooth flounder
Gammaridea,21.6185,93,0.009839166,0.688786846,Arrowtooth flounder
Gastropod,2.331,3,0.001060901,0.022218931,Arrowtooth flounder
Hippoglossoides elassodon,1055.925,17,0.480580131,0.125907273,Arrowtooth flounder
Hippoglossus stenolepis,2.422,3,0.001102318,0.022218931,Arrowtooth flounder
Hippolytidae,53.639,69,0.024412565,0.511035402,Arrowtooth flounder
Holothuroidea,28.37,1,0.012911957,0.00740631,Arrowtooth flounder
Hyperiidea,4.0329,57,0.001835482,0.42215968,Arrowtooth flounder
Invertebrate,3.516,10,0.001600227,0.074063102,Arrowtooth flounder
Isopoda,4.5605,6,0.002075607,0.044437861,Arrowtooth flounder
Lepidopsetta bilineata,0.05,1,2.28E-05,0.00740631,Arrowtooth flounder
Lepidopsetta polyxystra,1184.72,5,0.539198232,0.037031551,Arrowtooth flounder
Lepidopsetta sp.,890.61,14,0.405340787,0.103688342,Arrowtooth flounder
Liminda aspera,2.1,1,0.000955767,0.00740631,Arrowtooth flounder
Macrouridae,298.65,2,0.135923722,0.01481262,Arrowtooth flounder
Majidae,5.008,1,0.002279277,0.00740631,Arrowtooth flounder
Mollusca,5.823,3,0.002650205,0.022218931,Arrowtooth flounder
Myctophidae,103.325,12,0.047026012,0.088875722,Arrowtooth flounder
Mysidacea,49.9409,90,0.022729459,0.666567916,Arrowtooth flounder
Non-teleost fish,4.61,2,0.002098136,0.01481262,Arrowtooth flounder
Octopoda,9.35,3,0.004255439,0.022218931,Arrowtooth flounder
Offal,1766.334,34,0.803906551,0.251814546,Arrowtooth flounder
Ophiurida,10.125,5,0.004608162,0.037031551,Arrowtooth flounder
Osmeridae,17405.0945,1318,7.921530976,9.761516812,Arrowtooth flounder
Paguridae,10.366,8,0.004717848,0.059250481,Arrowtooth flounder
Pandalidae,3810.84632,1267,1.734419607,9.383794993,Arrowtooth flounder
Pleurogrammus monopterygius,1463.567,12,0.666109071,0.088875722,Arrowtooth flounder
Pleuronectiformes,3241.942,159,1.475495808,1.177603318,Arrowtooth flounder
Polychaeta,39.822,93,0.018124073,0.688786846,Arrowtooth flounder
Rajidae,52.5,1,0.023894175,0.00740631,Arrowtooth flounder
Salmonidae,949.964,9,0.432354404,0.066656792,Arrowtooth flounder
Sebastes sp.,810.868,19,0.369048038,0.140719893,Arrowtooth flounder
Sebastolobus sp.,577.435,3,0.262806343,0.022218931,Arrowtooth flounder
Stichaeidae,957.876,156,0.43595537,1.155384387,Arrowtooth flounder
Teleostei unid,7940.2656,1843,3.613830417,13.64982965,Arrowtooth flounder
Teuthida,1126.389,87,0.51265021,0.644348985,Arrowtooth flounder
Thecosomata,0.679,11,0.000309031,0.081469412,Arrowtooth flounder
