"Prey","Predator","s(RLONG, RLAT)","s(GEAR_DEPTH, k = 4)","s(GEAR_TEMP, k = 4)","s(PRED_LEN, k = 4)","Year","adjR^2","Dsquared","df","logLik","AIC","delta","weight"
"Euphausiacea","Walleye pollock","+","+","+","+","+",0.198833491397822,0.119949207876622,51,-6249.42718330217,12602.0751596243,0,0.999999961429585
"Euphausiacea","Walleye pollock","+","+",NA,"+","+",0.194498566492053,0.117123467531332,48,-6269.49336435088,12636.2167201335,34.141560509217,3.85704154608189e-08
"Euphausiacea","Walleye pollock","+","+","+","+",NA,0.171480187742305,0.102290996242561,37,-6374.82188640578,12824.7181431694,222.642983545144,4.50495429478017e-49
"Euphausiacea","Walleye pollock","+",NA,"+","+","+",0.171073584962842,0.102031555610177,48,-6376.66422931937,12850.9644346644,248.889275040152,9.00286226325452e-55
"Euphausiacea","Walleye pollock","+","+",NA,"+",NA,0.167395855922939,0.0996888936387597,34,-6393.29996845681,12855.9574861672,253.882326542929,7.41571871176794e-56
"Euphausiacea","Walleye pollock","+",NA,NA,"+","+",0.16280586119709,0.0967751454007133,45,-6413.99111220343,12919.7874429808,317.712283356575,1.02247862056263e-69
"Euphausiacea","Walleye pollock","+",NA,"+","+",NA,0.143008700040379,0.084333277656925,34,-6502.34345184677,13074.4740673132,472.398907688963,2.62954465267477e-103
"Euphausiacea","Walleye pollock","+",NA,NA,"+",NA,0.135696887823484,0.0797886649013376,31,-6534.61571016021,13133.1147268899,531.0395672656,4.85537877369539e-116
"Euphausiacea","Pacific Cod","+","+","+","+","+",0.147018995229244,0.0956974949007071,47,-4668.14650882619,9431.54583218776,0,0.999998927352216
"Euphausiacea","Pacific Cod","+","+",NA,"+","+",0.142724087348938,0.0927612150367561,46,-4683.30403025132,9459.04402197886,27.498189791093,1.06866968485296e-06
"Euphausiacea","Pacific Cod","+",NA,"+","+","+",0.141187624415811,0.0917129815721433,46,-4688.71517017482,9470.23080524638,38.6849730586146,3.97799623903745e-09
"Euphausiacea","Pacific Cod","+",NA,NA,"+","+",0.137550001052271,0.0892358426639403,44,-4701.50253643887,9491.3683824391,59.8225502513378,1.02258119143142e-13
"Euphausiacea","Pacific Cod","+","+","+","+",NA,0.110604769695778,0.07108452212117,34,-4795.20240251744,9659.43404865779,227.88821647003,3.27116222430465e-50
