Pred_common,Metric,Tanner crab,Euphausiacea,Pandalidae,Walleye pollock,Forage fish
Pacific cod,NStomachs,1892.00,2298.00,2800.00,607.00,264.00
Pacific cod,Percent_Occur,18.06,21.94,26.73,5.80,2.52
Pacific cod,Percent_Weight,8.87,2.99,8.14,26.45,2.90
Walleye pollock,NStomachs,44.00,7565.00,1292.00,163.00,336.00
Walleye pollock,Percent_Occur,0.38,65.18,11.13,1.40,2.90
Walleye pollock,Percent_Weight,0.05,45.27,11.78,3.81,7.72
Arrowtooth flounder,NStomachs,4.00,3806.00,1199.00,1502.00,1470.00
Arrowtooth flounder,Percent_Occur,0.04,36.47,11.49,14.39,14.09
Arrowtooth flounder,Percent_Weight,0.00,3.73,1.77,60.09,14.83
Pacific halibut,NStomachs,1010.00,218.00,195.00,1096.00,596.00
Pacific halibut,Percent_Occur,13.99,3.02,2.70,15.18,8.26
Pacific halibut,Percent_Weight,5.75,0.27,0.33,43.00,4.75
