Pred_common,Prey_Name_Clean,NStomachs,Percent_Occur,Percent_Weight
Arrowtooth flounder,Gadus chalcogrammus,1540,14.27,60.26
Arrowtooth flounder,Osmeridae,1267,11.74,7.92
Arrowtooth flounder,Clupeoidei,234,2.17,6.64
Arrowtooth flounder,Euphausiacea,3919,36.32,3.72
Arrowtooth flounder,Teleostei unid,1827,16.93,3.61
Arrowtooth flounder,Ammodytidae,313,2.90,2.61
Arrowtooth flounder,Gadidae,326,3.02,2.44
Arrowtooth flounder,Pandalidae,1226,11.36,1.73
Arrowtooth flounder,Pleuronectiformes,157,1.46,1.48
Arrowtooth flounder,Atheresthes stomias,48,0.44,1.31
Arrowtooth flounder,Gadus macrocephalus,21,0.19,1.23
Arrowtooth flounder,Offal,34,0.32,0.80
Arrowtooth flounder,Pleurogrammus monopterygius,12,0.11,0.67
Arrowtooth flounder,Zoarcidae,99,0.92,0.60
Arrowtooth flounder,Lepidopsetta polyxystra,5,0.05,0.54
Arrowtooth flounder,Teuthida,87,0.81,0.51
Arrowtooth flounder,Hippoglossoides elassodon,17,0.16,0.48
Arrowtooth flounder,Stichaeidae,154,1.43,0.44
Arrowtooth flounder,Salmonidae,9,0.08,0.43
Arrowtooth flounder,Lepidopsetta sp.,13,0.12,0.41
Arrowtooth flounder,Sebastes sp.,19,0.18,0.37
Arrowtooth flounder,Cottidae,44,0.41,0.30
Arrowtooth flounder,Caridea,560,5.19,0.26
Arrowtooth flounder,Sebastolobus sp.,3,0.03,0.26
Arrowtooth flounder,Bathylagidae,13,0.12,0.19
Pacific cod,Gadus chalcogrammus,627,5.81,26.82
Pacific cod,Chionoecetes bairdi,1916,17.75,9.07
Pacific cod,Pandalidae,2828,26.19,8.00
Pacific cod,Offal,105,0.97,3.61
Pacific cod,Paguridae,1783,16.51,3.60
Pacific cod,Teleostei unid,2147,19.89,3.52
Pacific cod,Ammodytidae,421,3.90,3.40
Pacific cod,Polychaeta,3654,33.84,3.24
Pacific cod,Euphausiacea,2437,22.57,3.14
Pacific cod,Anomura,748,6.93,2.82
Pacific cod,Crangonidae,3188,29.53,2.72
Pacific cod,Pleurogrammus monopterygius,24,0.22,2.70
Pacific cod,Pleuronectiformes,480,4.45,2.26
Pacific cod,Osmeridae,228,2.11,2.13
Pacific cod,Majidae,762,7.06,1.90
Pacific cod,Cottidae,713,6.60,1.69
Pacific cod,Brachyura,1474,13.65,1.51
Pacific cod,Octopoda,755,6.99,1.48
Pacific cod,Caridea,1700,15.75,1.41
Pacific cod,Atheresthes stomias,64,0.59,1.32
Pacific cod,Stichaeidae,439,4.07,1.13
Pacific cod,Gadidae,98,0.91,1.12
Pacific cod,Sebastes sp.,56,0.52,0.97
Pacific cod,Zoarcidae,281,2.60,0.87
Pacific cod,Hippolytidae,1417,13.12,0.84
Pacific halibut,Gadus chalcogrammus,1105,15.01,42.81
Pacific halibut,Chionoecetes bairdi,1025,13.92,5.66
Pacific halibut,Majidae,1415,19.22,5.06
Pacific halibut,Octopoda,314,4.27,4.49
Pacific halibut,Paguridae,2768,37.60,4.29
Pacific halibut,Offal,165,2.24,3.94
Pacific halibut,Sebastes sp.,83,1.13,3.52
Pacific halibut,Brachyura,1121,15.23,2.61
Pacific halibut,Salmonidae,21,0.29,2.61
Pacific halibut,Osmeridae,435,5.91,2.55
Pacific halibut,Atheresthes stomias,71,0.96,2.29
Pacific halibut,Pleuronectiformes,259,3.52,2.22
Pacific halibut,Clupeoidei,177,2.40,2.14
Pacific halibut,Teleostei unid,1246,16.93,2.00
Pacific halibut,Ammodytidae,454,6.17,1.85
Pacific halibut,Gadus macrocephalus,46,0.62,1.67
Pacific halibut,Gadidae,172,2.34,1.66
Pacific halibut,Anomura,213,2.89,0.90
Pacific halibut,Pleurogrammus monopterygius,13,0.18,0.74
Pacific halibut,Cottidae,250,3.40,0.63
Pacific halibut,Teuthida,67,0.91,0.57
Pacific halibut,Chionoecetes sp.,144,1.96,0.45
Pacific halibut,Unid,99,1.34,0.40
Pacific halibut,Pandalidae,198,2.69,0.32
Pacific halibut,Hippoglossoides elassodon,18,0.24,0.31
Walleye pollock,Euphausiacea,7853,65.30,44.69
Walleye pollock,Pandalidae,1326,11.03,11.66
Walleye pollock,Osmeridae,331,2.75,7.09
Walleye pollock,Copepoda,4079,33.92,6.11
Walleye pollock,Appendicularia,1309,10.88,5.65
Walleye pollock,Gadus chalcogrammus,166,1.38,3.67
Walleye pollock,Caridea,1369,11.38,3.38
Walleye pollock,Teleostei unid,924,7.68,2.82
Walleye pollock,Cumacea,270,2.25,2.18
Walleye pollock,Crangonidae,543,4.52,1.72
Walleye pollock,Mysidacea,849,7.06,1.39
Walleye pollock,Hyperiidea,2598,21.60,1.36
Walleye pollock,Ammodytidae,78,0.65,0.78
Walleye pollock,Gammaridea,988,8.22,0.70
Walleye pollock,Thecosomata,456,3.79,0.70
Walleye pollock,Hippolytidae,247,2.05,0.62
Walleye pollock,Clupeoidei,9,0.07,0.50
Walleye pollock,Ctenophora sp.,47,0.39,0.49
Walleye pollock,Teuthida,165,1.37,0.49
Walleye pollock,Polychaeta,310,2.58,0.38
Walleye pollock,Unid,310,2.58,0.36
Walleye pollock,Anomura,76,0.63,0.30
Walleye pollock,Myctophidae,16,0.13,0.27
Walleye pollock,Zoarcidae,33,0.27,0.25
Walleye pollock,Brachyura,339,2.82,0.21
