"Pred_common","Prey_Name_Clean","Len_bin","NStomachs","Percent_Occur","Percent_Weight"
"Pacific cod","Polychaeta","(40,60]",2003,37.3833519970138,4.98762119541112
"Pacific cod","Gastropod","(40,60]",342,6.38297872340426,0.432142767344917
"Pacific cod","Crangonidae","(40,60]",1811,33.7999253452781,5.31459274529225
"Pacific cod","Gammaridea","(40,60]",1480,27.6222471071295,1.33381078245854
"Pacific cod","Paguridae","(40,60]",915,17.077267637178,6.15844289435881
"Pacific cod","Chionoecetes bairdi","(40,60]",1084,20.2314296379246,11.7416874248961
"Pacific cod","Brachyura","(40,60]",740,13.8111235535648,2.64131899404263
"Pacific cod","Stichaeidae","(40,60]",244,4.55393803658081,1.71286667178379
"Pacific cod","Hippoglossoides elassodon","(40,60]",40,0.746547219111609,0.412400847012423
"Pacific cod","Zoarcidae","(40,60]",150,2.79955207166853,1.29978309461943
"Pacific cod","Gammaridea","(60,80]",587,19.1517128874388,0.42283485850872
"Pacific cod","Euphausiacea","(60,80]",687,22.4143556280587,2.07421841367127
"Pacific cod","Euphausiacea","(40,60]",1332,24.8600223964166,6.26013064564268
"Pacific cod","Majidae","(40,60]",427,7.96939156401642,3.00479123757513
"Pacific cod","Teleostei unid","(40,60]",1132,21.1272863008585,4.21129378638681
"Pacific cod","Octopoda","(40,60]",402,7.50279955207167,1.6006816945442
"Pacific cod","Ammodytidae","(40,60]",199,3.71407241508025,3.6097768106788
"Pacific cod","Caridea","(40,60]",970,18.1037700634565,2.7915287091506
"Pacific cod","Hippolytidae","(40,60]",876,16.3493840985442,1.62363830772984
"Pacific cod","Teleostei unid","(60,80]",705,23.0016313213703,3.85430190692924
"Pacific cod","Crangonidae","(60,80]",791,25.8075040783034,1.65322488551331
"Pacific cod","Gadidae","(40,60]",40,0.746547219111609,0.389609900463682
"Pacific cod","Isopoda","(40,60]",182,3.39678984695782,0.176222301502003
"Pacific cod","Pandalidae","(40,60]",1589,29.6565882792087,12.5689725884087
"Pacific cod","Polychaeta","(60,80]",893,29.1353996737357,2.84350541631911
"Pacific cod","Bivalvia","(60,80]",276,9.00489396411093,0.30940227022479
"Pacific cod","Hippolytidae","(60,80]",333,10.8646003262643,0.56014011199844
"Pacific cod","Pandalidae","(60,80]",1036,33.8009787928222,7.78669435618519
"Pacific cod","Chionoecetes bairdi","(60,80]",658,21.468189233279,9.90259321301845
"Pacific cod","Paguridae","(60,80]",514,16.7699836867863,2.76129861489979
"Pacific cod","Brachyura","(60,80]",293,9.55954323001631,1.06804187287761
"Pacific cod","Stichaeidae","(60,80]",141,4.60032626427406,1.04365303792426
"Pacific cod","Zoarcidae","(60,80]",108,3.52365415986949,0.860392580868799
"Pacific cod","Gadus chalcogrammus","(40,60]",133,2.4822695035461,6.21242114674041
"Pacific cod","Agonidae","(40,60]",115,2.14632325494588,0.31073784824409
"Pacific cod","Pleuronectiformes","(60,80]",184,6.00326264274062,2.43201662646262
"Pacific cod","Octopoda","(60,80]",331,10.7993474714519,1.67631344979387
"Walleye pollock","Euphausiacea","(40,60]",4913,69.985754985755,46.098699270541
"Walleye pollock","Copepoda","(40,60]",2099,29.9002849002849,5.92803117587856
"Walleye pollock","Appendicularia","(40,60]",836,11.9088319088319,5.90240659278849
