"","Pred_name","Com_nam","F","E","T","max","min","Fork length (cm)* Mean","+- SD"
"1","Anoplopoma fimbria","sablefish",85,80,165,83,28,55.3939393939394,10.7440834368849
"2","Atheresthes stomias","arrowtooth flounder",607,536,1143,80,9,40.8048993875766,13.0246127157508
"3","Gadus chalcogrammus","walleye pollock",933,43,976,69,10,40.7961065573771,15.731999895849
"4","Gadus macrocephalus","Pacific cod",1579,1,1580,104,14,54.9348101265823,12.8109033043137
"5","Hemitripterus bolini","bigmouth sculpin",1,NA,1,64,64,64,NA
"6","Hippoglossoides elassodon","flathead sole",11,6,17,37,17,29.6470588235294,6.03055943166333
"7","Hippoglossus stenolepis","Pacific halibut",308,35,343,114,17,53.4868804664723,19.5576588669763
"8","Lepidopsetta bilineata","rock sole",162,43,205,50,15,35.8146341463415,6.77182604097451
"9","Lepidopsetta polyxystra","northern rock sole",63,21,84,41,17,30.0714285714286,5.53800824159671
"10","Limanda aspera","yellowfin sole",84,17,101,42,15,29.2277227722772,6.49443021075569
"11","Pleurogrammus monopterygius","Atka mackerel",29,18,47,52,37,47.5744680851064,3.02701374475172
"12","Sebastes borealis","shortraker rockfish",1,40,41,85,37,50.0487804878049,8.89086952865746
"13","Sebastes zacentrus","sharpchin rockfish",17,NA,17,27,19,23.6470588235294,2.99877425939725
